OBJECTID,R_NAME,R_CODE,Z_NAME,Z_CODE,W_NAME,W_CODE,RK_NAME,RK_CODE,COUNT,T_NAME,T_CODE,KK_CODE,UK_NAME,UK_CODE,UK_ID,KK_NAME,GlobalID,Shape__Area,Shape__Length
97,Tigray,1,North Western Tigray,101,Medebay Zana,10103,Adi Beareji,10103004,6, ,0,0, , , , ,d606ba3d-8387-4e7e-8f06-203c629a9ba2,38915904.8994141,44032.7902099384
98,Tigray,1,North Western Tigray,101,Medebay Zana,10103,Adi Ngisti,10103005,5, ,0,0, , , , ,5aadfe6f-3600-4605-8580-ef45cd54d0b0,42397210.0810547,45210.1708514075
99,Tigray,1,North Western Tigray,101,Medebay Zana,10103,Kul Ferha,10103006,8, ,0,0, , , , ,55fe693b-e6dc-445e-a48d-d5aa3e9609f2,60202448.6225586,48288.4255826374
100,Tigray,1,North Western Tigray,101,Medebay Zana,10103,Emba Tsehidi,10103007,8, ,0,0, , , , ,df1fdbe3-c2ff-4b69-b4ba-a4c6a2c0ff9f,60980099.5898438,42866.9513896314
101,Tigray,1,North Western Tigray,101,Medebay Zana,10103,Mesihil,10103008,8, ,0,0, , , , ,33e52097-4786-4236-bac1-b9f8ff419d89,37464943.7021484,32813.3730344011
102,Tigray,1,North Western Tigray,101,Medebay Zana,10103,Ade Kemalhi,10103009,7, ,0,0, , , , ,bee23fce-96e5-41f9-bd8d-c3953b8fb6c3,33679147.1987305,29577.1805160303
103,Tigray,1,North Western Tigray,101,Medebay Zana,10103,Kemalo,10103010,6, ,0,0, , , , ,ac0de342-4f5c-4d7e-af95-ca1ad15f06f3,30956675.6152344,26901.1960396364
104,Tigray,1,North Western Tigray,101,Medebay Zana,10103,Adi Geshei,10103011,6, ,0,0, , , , ,1d1b9879-2dc6-453e-9ada-e1c6bc55ace3,31220345.2675781,27638.2232463787
105,Tigray,1,North Western Tigray,101,Medebay Zana,10103,Bahira,10103012,10, ,0,0, , , , ,5735f264-312c-49f9-b12b-ea1d2555a153,61889340.6665039,36294.5164209908
106,Tigray,1,North Western Tigray,101,Medebay Zana,10103,walka,10103013,5, ,0,0, , , , ,98da069b-aa4f-45b3-b573-8b901a72d337,36785246.152832,36680.0699370867
107,Tigray,1,North Western Tigray,101,Medebay Zana,10103,Debre Kerbe,10103014,6, ,0,0, , , , ,65bb23cb-248a-4820-88d2-e0c6df2102f4,44878567.0351563,49117.3760937964
108,Tigray,1,North Western Tigray,101,Medebay Zana,10103,Kibrto,10103015,9, ,0,0, , , , ,686ac994-bf75-434d-963a-eab849fbee99,123326451.268555,60008.3863355774
109,Tigray,1,North Western Tigray,101,Medebay Zana,10103,Thula,10103016,11, ,0,0, , , , ,2f65cf86-fcfd-4ac6-b582-fb43335de069,143422907.94873,69474.8499371883
110,Tigray,1,North Western Tigray,101,Medebay Zana,10103,Adi Tsegora,10103017,12, ,0,0, , , , ,3c381187-cef7-41c6-9376-29b78a50b735,76018941.9165039,47959.5081921589
111,Tigray,1,North Western Tigray,101,Medebay Zana,10103,Mintil,10103018,9, ,0,0, , , , ,2fdb9a1a-175e-42d2-94f8-2e716e4c1585,112986316.29248,65835.323699739
112,Tigray,1,North Western Tigray,101,Tahitay Qoraro,10104,ADIGEBARO,10104001,5, ,0,0, , , , ,6799b667-2f6e-4e61-9d22-59b544eed617,81808658.0068359,57706.044389551
113,Tigray,1,North Western Tigray,101,Tahitay Qoraro,10104,ADIKOKOB,10104002,4, ,0,0, , , , ,bd72d765-d714-4ae8-84e5-6b58993261ae,43832485.3320313,35609.5769517808
114,Tigray,1,North Western Tigray,101,Tahitay Qoraro,10104,SIMEMA,10104003,9, ,0,0, , , , ,fab51bc3-cbfa-4b09-96b9-44660ae02c04,62106099.7983398,39059.8188523861
115,Tigray,1,North Western Tigray,101,Tahitay Qoraro,10104,SEKELA KOYITSA,10104004,5, ,0,0, , , , ,626f1573-95fb-49cb-861e-da0ad262b90a,28336421.1645508,25073.9224639969
116,Tigray,1,North Western Tigray,101,Tahitay Qoraro,10104,MAYILIHAM,10104005,7, ,0,0, , , , ,e0d209ac-b07c-4881-bc97-d4f8c4764408,61166862.6303711,39124.0412674108
117,Tigray,1,North Western Tigray,101,Tahitay Qoraro,10104,LEMILEM,10104006,9, ,0,0, , , , ,ed58c22c-01f0-4330-8fe2-fe70a034f16d,97091497.1411133,66858.0527472811
118,Tigray,1,North Western Tigray,101,Tahitay Qoraro,10104,MAYIDIMU,10104007,7, ,0,0, , , , ,17ba4007-2e70-48c4-9aba-0958f6deeba0,78128094.8461914,51313.5129489027
119,Tigray,1,North Western Tigray,101,Tahitay Qoraro,10104,MAY ADIRASHA,10104008,4, ,0,0, , , , ,97359c78-d528-4513-888e-0f350884bc14,26747231.2255859,21322.5855511587
120,Tigray,1,North Western Tigray,101,Tahitay Qoraro,10104,ADI GIDAD,10104009,8, ,0,0, , , , ,a9826443-a647-40a9-be73-4124460f725c,69169300.0146484,44399.2099622623
121,Tigray,1,North Western Tigray,101,Tahitay Qoraro,10104,BELES,10104010,7, ,0,0, , , , ,06790d0a-ffb6-459c-95ac-1b769cb3b579,39837529.8813477,31748.7112042929
122,Tigray,1,North Western Tigray,101,Tahitay Qoraro,10104,ADI MENAKER,10104011,4, ,0,0, , , , ,0b7c5efe-ca0e-4961-8c0c-4e12873a54ff,18279344.6894531,19045.8463449066
123,Tigray,1,North Western Tigray,101,Tahitay Qoraro,10104,KELAKIL,10104012,7, ,0,0, , , , ,c3cbbcf2-669a-461f-952e-9de67a49ebb9,108249511.772461,47475.9404447629
124,Tigray,1,North Western Tigray,101,Asegede Tsimbila,10105,DIGWADAGUGN,10105001,11, ,0,0, , , , ,eff7936b-53c3-4c1a-ba08-b71d76aa5d63,190206132.660156,87803.243307425
125,Tigray,1,North Western Tigray,101,Asegede Tsimbila,10105,HITSATS,10105002,6, ,0,0, , , , ,fdb31b0c-b114-4749-87c6-b31fb8bba633,91845520.4165039,51675.6367973268
126,Tigray,1,North Western Tigray,101,Asegede Tsimbila,10105,HIBIRET,10105003,10, ,0,0, , , , ,9ae8584e-a6c7-4bcd-980f-fd706ae3d47c,185838099.52832,92548.0681128978
127,Tigray,1,North Western Tigray,101,Asegede Tsimbila,10105,MAY SEYE,10105004,8, ,0,0, , , , ,d488194f-bfeb-4fe4-be3c-ed977ba7354b,61505869.9794922,50827.0575738122
128,Tigray,1,North Western Tigray,101,Asegede Tsimbila,10105,MAY FERES,10105005,4, ,0,0, , , , ,c241d8cc-f8f6-4ce3-bea8-85e9c99c17b5,62717386.2006836,48338.1873696639
129,Tigray,1,North Western Tigray,101,Asegede Tsimbila,10105,MAY SEWIHI,10105006,5, ,0,0, , , , ,a2659a10-897d-4da7-8ad6-3f41eac272df,47406550.0493164,38490.7508930227
130,Tigray,1,North Western Tigray,101,Asegede Tsimbila,10105,MAY SHEK,10105007,4, ,0,0, , , , ,769ce5df-1e1b-4bb4-8010-88e5efa854e2,84628874.3505859,65316.4567894773
131,Tigray,1,North Western Tigray,101,Asegede Tsimbila,10105,ALOGEN,10105008,7, ,0,0, , , , ,b0f12486-4606-435a-9772-e9e2de28ad77,85121944.5532227,51076.2097987941
132,Tigray,1,North Western Tigray,101,Asegede Tsimbila,10105,LEMILEM,10105009,7, ,0,0, , , , ,a48f4538-0c31-4946-a18f-275fabb7a72a,74095259.7485352,61005.9862709841
133,Tigray,1,North Western Tigray,101,Asegede Tsimbila,10105,BIRIHAN,10105010,9, ,0,0, , , , ,a06c84e6-71b5-4e0d-b7fb-c88140021404,101002678.864746,53748.4961149499
134,Tigray,1,North Western Tigray,101,Asegede Tsimbila,10105,BONA KODA,10105011,7, ,0,0, , , , ,dfc438ab-020f-437c-be93-e9ef0a0b4ae7,90667511.4311523,46345.7735583771
